Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V
384.5,0.573558,2.970023,3.128103,0.521342,2.958332,3.078811,0.560343,3.073206,2.993915,0.533045,3.08067,3.021188,0.529346,3.085145,2.999913,0.531986,3.024481,2.995083
385,0.576842,2.921406,2.997684,0.523798,2.824964,2.938143,0.563302,2.938147,2.976847,0.535766,2.973931,2.920315,0.53204,2.966218,2.870588,0.534591,2.912307,2.826994
385.5,0.579587,2.788184,2.930948,0.526623,2.726445,2.813108,0.566196,2.783515,2.821402,0.538685,2.839526,2.835677,0.534665,2.828734,2.742219,0.537492,2.832184,2.749343
386,0.582426,2.67881,2.754286,0.528991,2.64347,2.688921,0.569267,2.695297,2.710621,0.541461,2.734461,2.692742,0.537501,2.706077,2.611003,0.540428,2.696609,2.65441
386.5,0.585151,2.587749,2.670925,0.531952,2.559969,2.570041,0.572091,2.601017,2.613642,0.544212,2.603819,2.585728,0.54034,2.627974,2.52797,0.542984,2.632342,2.543169
387,0.588448,2.485698,2.59935,0.534589,2.455611,2.484404,0.575335,2.531554,2.503826,0.54714,2.52523,2.478342,0.543063,2.534682,2.449392,0.545849,2.536291,2.451067
387.5,0.59161,2.391188,2.503633,0.537526,2.359175,2.400158,0.578632,2.428019,2.408094,0.550138,2.426053,2.39036,0.545977,2.424696,2.361488,0.548895,2.438939,2.363097
388,0.59471,2.303442,2.400769,0.540251,2.279915,2.315762,0.581619,2.345466,2.331835,0.553102,2.342488,2.2881,0.548848,2.349434,2.280194,0.551907,2.365266,2.273007
388.5,0.598035,2.230473,2.324211,0.54321,2.207107,2.230785,0.584641,2.26629,2.245482,0.556219,2.269743,2.219595,0.552008,2.265833,2.195962,0.554942,2.277151,2.187109
389,0.600969,2.161959,2.258998,0.546027,2.126319,2.161581,0.587694,2.18348,2.175748,0.559227,2.191322,2.133059,0.555031,2.191327,2.121853,0.558319,2.19968,2.114607
389.5,0.604122,2.086287,2.187386,0.548612,2.05675,2.093549,0.590747,2.119654,2.121444,0.562237,2.117615,2.070496,0.558159,2.123497,2.046522,0.561156,2.142366,2.049284
390,0.607274,2.013587,2.121159,0.551569,1.990458,2.028504,0.594272,2.056021,2.051466,0.565297,2.042734,2.00323,0.561347,2.057159,1.98092,0.564097,2.079395,1.975419
390.5,0.610524,1.957494,2.055509,0.554418,1.926336,1.970263,0.597573,1.991324,1.987768,0.568776,1.990505,1.942933,0.56457,1.994732,1.919062,0.567573,2.004398,1.914507
391,0.613603,1.901742,1.993895,0.557306,1.872423,1.914751,0.600475,1.930388,1.92573,0.571919,1.92964,1.884193,0.567517,1.934046,1.863068,0.570605,1.946205,1.854771
391.5,0.617017,1.843458,1.942056,0.560194,1.811968,1.855029,0.603877,1.876077,1.875206,0.57537,1.872966,1.830189,0.571106,1.875525,1.807451,0.5742,1.892429,1.800731
