Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V,V_baseline,H_baseline
790.5,0.133111,0.1318066667,0.13354029999999995,0.120468,0.11969766670000001,0.11702330000000005,0.126769,0.1274206667,0.12005429999999995,0.125488,0.12705166669999998,0.11441029999999996,0.124419,0.12886366670000002,0.11101530000000004,0.125143,0.1308286667,0.10909630000000003,0.5804087,0.2016133333
791.0,0.133008,0.13217933330000003,0.13395270000000004,0.120369,0.1201533333,0.1172957,0.126633,0.12794933330000002,0.12036170000000002,0.125381,0.12755933330000002,0.11459870000000005,0.124307,0.1293673333,0.11120770000000002,0.125044,0.1313253333,0.10917470000000007,0.5799603,0.2009946667
791.5,0.132849,0.1324853333,0.13332600000000006,0.120241,0.12049933330000001,0.116707,0.126499,0.1282013333,0.11980100000000005,0.125272,0.12781633329999997,0.11402400000000001,0.124144,0.12945733329999998,0.11058800000000002,0.124932,0.1313343333,0.108518,0.580174,0.2005126667
792.0,0.132723,0.13236799999999999,0.13286869999999995,0.12014,0.120278,0.11625869999999994,0.126406,0.127859,0.11932569999999998,0.125117,0.12741200000000003,0.1135157,0.124064,0.12893300000000002,0.11003770000000002,0.12481,0.130784,0.10806070000000001,0.5802283,0.200287
792.5,0.132562,0.1317323333,0.13285499999999995,0.120038,0.11960733330000001,0.11645799999999995,0.126258,0.1272593333,0.11952499999999999,0.12498,0.12679733329999998,0.11377099999999996,0.12393,0.12844133330000002,0.11040099999999997,0.124679,0.13036633330000003,0.10829900000000003,0.57977,0.2001706667
793.0,0.132405,0.13145866670000003,0.13312729999999995,0.119903,0.1193886667,0.11673329999999993,0.126129,0.12698166670000002,0.11966529999999997,0.124865,0.1265276667,0.11374529999999994,0.123784,0.1281776667,0.11047030000000002,0.124522,0.13017066670000002,0.10826829999999998,0.5792397,0.1999043333
793.5,0.132242,0.13128966669999997,0.13264600000000004,0.119761,0.11930866670000001,0.11624000000000001,0.12598,0.1269526667,0.11931899999999995,0.124706,0.12652866670000001,0.11347699999999994,0.123631,0.1283196667,0.11039200000000005,0.124334,0.1303656667,0.10824900000000004,0.579021,0.1994833333
794.0,0.132093,0.1314556667,0.1325303,0.119613,0.1196026667,0.11615730000000002,0.125832,0.1272316667,0.11930629999999998,0.124558,0.1268246667,0.11351630000000001,0.123488,0.1285196667,0.11031029999999997,0.124205,0.1304516667,0.10819630000000002,0.5788687,0.1990153333
794.5,0.131968,0.13160766669999996,0.13257429999999992,0.119515,0.11965266669999997,0.11617630000000001,0.125744,0.1272596667,0.11930229999999997,0.124424,0.1267966667,0.11350929999999992,0.123374,0.12844566669999996,0.11016329999999996,0.124107,0.13033766669999997,0.1081453,0.5786147,0.1985993333
795.0,0.131839,0.131336,0.132355,0.119393,0.11928499999999997,0.11590100000000003,0.125602,0.12681199999999998,0.11896099999999998,0.124302,0.126311,0.11296899999999999,0.123232,0.12784299999999998,0.10961100000000001,0.123986,0.12966299999999997,0.10752000000000006,0.57856,0.198494
