Wavelength,Test 1,Test 2,Test 3,Average
479.0000000,0.4910360,0.4910430,0.4911740,0.4910843
479.5000000,0.4938430,0.4939100,0.4940870,0.4939467
480.0000000,0.4969780,0.4972230,0.4973040,0.4971683
480.5000000,0.5005160,0.5009250,0.5009390,0.5007933
481.0000000,0.5044160,0.5049510,0.5050410,0.5048027
481.5000000,0.5087160,0.5094270,0.5094240,0.5091890
482.0000000,0.5133050,0.5140760,0.5140800,0.5138203
482.5000000,0.5181930,0.5190950,0.5190850,0.5187910
483.0000000,0.5240710,0.5251280,0.5250430,0.5247473
483.5000000,0.5302470,0.5313910,0.5314170,0.5310183
484.0000000,0.5366960,0.5381620,0.5381920,0.5376833
484.5000000,0.5434720,0.5452740,0.5453460,0.5446973
485.0000000,0.5505200,0.5526340,0.5527370,0.5519637
485.5000000,0.5579080,0.5603200,0.5604840,0.5595707
486.0000000,0.5657490,0.5685120,0.5686690,0.5676433
486.5000000,0.5741600,0.5771270,0.5772880,0.5761917
487.0000000,0.5828870,0.5861350,0.5863710,0.5851310
487.5000000,0.5915370,0.5950920,0.5953460,0.5939917
488.0000000,0.6000520,0.6038600,0.6040900,0.6026673
488.5000000,0.6082740,0.6123020,0.6124820,0.6110193
489.0000000,0.6162520,0.6204980,0.6206230,0.6191243
489.5000000,0.6238430,0.6284030,0.6284180,0.6268880
490.0000000,0.6311390,0.6360260,0.6359370,0.6343673
490.5000000,0.6378980,0.6429130,0.6429130,0.6412413
491.0000000,0.6439570,0.6492910,0.6493570,0.6475350
491.5000000,0.6492900,0.6548530,0.6550080,0.6530503
492.0000000,0.6538400,0.6597120,0.6598690,0.6578070
492.5000000,0.6578270,0.6638500,0.6639570,0.6618780
493.0000000,0.6610490,0.6672770,0.6673920,0.6652393
493.5000000,0.6636060,0.6699400,0.6700240,0.6678567
494.0000000,0.6652920,0.6716850,0.6717530,0.6695767
494.5000000,0.6662560,0.6726740,0.6727920,0.6705740
495.0000000,0.6665120,0.6729830,0.6730450,0.6708467
495.5000000,0.6661440,0.6726160,0.6726260,0.6704620
496.0000000,0.6652510,0.6716210,0.6716940,0.6695220
496.5000000,0.6638610,0.6701630,0.6702480,0.6680907
497.0000000,0.6620310,0.6682740,0.6683740,0.6662263
497.5000000,0.6599040,0.6659990,0.6660690,0.6639907
498.0000000,0.6574930,0.6634610,0.6635470,0.6615003
498.5000000,0.6548440,0.6607380,0.6608050,0.6587957
499.0000000,0.6520600,0.6578610,0.6579300,0.6559503
499.5000000,0.6492830,0.6549780,0.6549730,0.6530780
500.0000000,0.6462730,0.6518730,0.6519060,0.6500173
500.5000000,0.6430830,0.6486090,0.6486550,0.6467823
501.0000000,0.6398850,0.6452650,0.6452770,0.6434757
501.5000000,0.6366830,0.6418520,0.6418820,0.6401390
502.0000000,0.6331050,0.6382210,0.6382310,0.6365190
502.5000000,0.6299460,0.6348160,0.6349050,0.6332223
503.0000000,0.6267980,0.6315700,0.6316750,0.6300143
503.5000000,0.6237230,0.6283900,0.6285170,0.6268767
504.0000000,0.6207520,0.6253230,0.6253860,0.6238203
504.5000000,0.6177810,0.6222750,0.6223090,0.6207883
505.0000000,0.6148770,0.6192850,0.6192540,0.6178053
505.5000000,0.6119150,0.6161850,0.6161620,0.6147540
506.0000000,0.6091720,0.6132660,0.6134310,0.6119563
506.5000000,0.6065350,0.6105920,0.6107740,0.6093003
507.0000000,0.6040100,0.6080240,0.6081260,0.6067200
507.5000000,0.6016210,0.6054410,0.6055370,0.6041997
508.0000000,0.5992530,0.6029450,0.6030750,0.6017577
508.5000000,0.5970940,0.6006680,0.6007890,0.5995170
509.0000000,0.5949110,0.5984520,0.5986060,0.5973230
509.5000000,0.5927030,0.5962070,0.5963190,0.5950763
510.0000000,0.5906390,0.5940860,0.5941460,0.5929570
510.5000000,0.5888520,0.5921840,0.5922590,0.5910983
511.0000000,0.5871560,0.5904050,0.5904750,0.5893453
511.5000000,0.5853150,0.5886110,0.5886500,0.5875253
512.0000000,0.5836180,0.5868520,0.5869470,0.5858057
512.5000000,0.5820390,0.5851250,0.5852740,0.5841460
513.0000000,0.5804030,0.5835040,0.5836300,0.5825123
513.5000000,0.5790190,0.5820930,0.5821900,0.5811007
514.0000000,0.5777670,0.5808010,0.5808330,0.5798003
514.5000000,0.5764290,0.5793680,0.5794780,0.5784250
515.0000000,0.5751710,0.5780610,0.5781860,0.5771393
515.5000000,0.5739680,0.5768110,0.5769030,0.5758940
516.0000000,0.5727790,0.5756540,0.5757430,0.5747253
516.5000000,0.5717200,0.5744750,0.5745230,0.5735727
517.0000000,0.5706730,0.5734310,0.5734680,0.5725240
517.5000000,0.5695920,0.5722760,0.5722840,0.5713840
518.0000000,0.5686600,0.5712930,0.5713650,0.5704393
518.5000000,0.5678000,0.5704140,0.5704670,0.5695603
519.0000000,0.5668690,0.5694520,0.5695250,0.5686153
519.5000000,0.5660750,0.5686040,0.5687720,0.5678170
520.0000000,0.5652890,0.5677540,0.5679000,0.5669810
520.5000000,0.5644570,0.5669310,0.5670280,0.5661387
521.0000000,0.5638440,0.5661940,0.5663220,0.5654533
521.5000000,0.5631190,0.5655500,0.5656530,0.5647740
522.0000000,0.5624790,0.5648590,0.5649690,0.5641023
522.5000000,0.5618940,0.5642970,0.5643850,0.5635253
523.0000000,0.5612650,0.5636530,0.5637830,0.5629003
523.5000000,0.5606060,0.5629500,0.5630690,0.5622083
524.0000000,0.5600740,0.5623400,0.5624820,0.5616320
524.5000000,0.5596300,0.5617900,0.5619890,0.5611363
525.0000000,0.5591400,0.5613680,0.5615490,0.5606857
525.5000000,0.5586980,0.5608480,0.5610160,0.5601873
526.0000000,0.5582680,0.5604390,0.5605750,0.5597607
526.5000000,0.5577870,0.5599120,0.5600570,0.5592520
527.0000000,0.5573400,0.5594580,0.5595400,0.5587793
527.5000000,0.5569190,0.5590720,0.5591560,0.5583823
528.0000000,0.5566820,0.5587160,0.5588140,0.5580707
528.5000000,0.5563740,0.5584900,0.5585870,0.5578170
529.0000000,0.5560600,0.5581560,0.5582420,0.5574860
529.5000000,0.5557530,0.5577940,0.5578810,0.5571427
530.0000000,0.5554680,0.5575520,0.5576210,0.5568803
530.5000000,0.5551840,0.5572520,0.5573560,0.5565973
